agent_id,station_id,node_id,sim_time_min,wait_time_min,charge_time_min,energy_kwh,soc_before_kwh,soc_after_kwh,price_per_kwh
TRIP_22810,EC_AP-9_001,AP-9_EC001,316.90418858601765,0.0,11.593782060200814,23.18756412040163,26.34581697780013,49.53338109820176,0.4
TRIP_24897,EC_A-66_015,A-66_EC015,317.14486403503884,0.0,12.261842242823587,23.904311160820964,31.29568883917904,55.2,0.4
TRIP_07862,EC_A-6_011,A-6_EC011,320.0591634018693,0.0,8.822649005234428,19.850960261777466,38.045858517561754,57.89681877933922,0.4
TRIP_21507,EC_A-6_011,A-6_EC011,326.84754455142246,0.0,2.921182516228967,5.842365032457934,39.7683102883635,45.610675320821436,0.4
TRIP_09100,EC_A-66_015,A-66_EC015,326.9092397272167,0.0,8.752837392695863,33.75670065339777,34.49329934660223,68.25,0.4
TRIP_07307,EC_A-45_009,A-45_EC009,329.2669142540861,0.0,7.314393533190537,17.066918244111253,19.532171976590742,36.599090220701996,0.4
TRIP_07768,EC_A-6_011,A-6_EC011,330.0497440667505,0.0,0.8226637711948711,1.3711062853247853,36.4694511405671,37.84055742589189,0.4
TRIP_15585,EC_A-8_000,A-8_EC000,334.412588762638,0.0,5.559326634570754,18.994366001450075,42.441844891269454,61.43621089271953,0.4
TRIP_07467,EC_A-6_009,A-6_EC009,334.70612599504545,0.0,11.411697093269046,9.509747577724205,38.11601255082275,47.62576012854696,0.4
TRIP_13422,EC_AP-7_035,AP-7_EC035,337.529926304678,0.0,12.083010647124027,26.71304634866574,19.18695365133426,45.9,0.4
TRIP_14196,EC_AP-46_000,AP-46_EC000,339.03734917016953,0.0,31.151723979371706,23.173956029321374,46.89604397067863,70.07000000000001,0.4
TRIP_21031,EC_A-6_009,A-6_EC009,339.9680180036711,0.0,13.202918208633717,11.002431840528097,35.606850799685844,46.60928264021394,0.4
TRIP_21737,EC_A-6_011,A-6_EC011,341.55946249719756,0.0,3.1984373798673342,13.326822416113892,43.56412211758443,56.890944533698324,0.4
